RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,93%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@42.5C PMIC@100C GPU@40.5C AO@46.5C thermal@41.75C POM_5V_IN 3858/3464 POM_5V_GPU 0/39 POM_5V_CPU 1725/1311
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,92%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43C PMIC@100C GPU@40.5C AO@46.5C thermal@41.75C POM_5V_IN 3898/3478 POM_5V_GPU 0/37 POM_5V_CPU 1765/1326
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,0%@1479,91%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43C PMIC@100C GPU@40.5C AO@47C thermal@41.75C POM_5V_IN 3818/3489 POM_5V_GPU 0/36 POM_5V_CPU 1685/1338
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,87%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43C PMIC@100C GPU@40.5C AO@46.5C thermal@41.5C POM_5V_IN 3818/3500 POM_5V_GPU 0/35 POM_5V_CPU 1685/1349
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,4%@1479,85%@1479,2%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38C CPU@42.5C PMIC@100C GPU@40C AO@46.5C thermal@41.75C POM_5V_IN 3818/3509 POM_5V_GPU 0/34 POM_5V_CPU 1688/1359
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,87%@1479,0%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43C PMIC@100C GPU@40.5C AO@46.5C thermal@41.75C POM_5V_IN 3818/3518 POM_5V_GPU 0/33 POM_5V_CPU 1688/1369
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,7%@1479,92%@1479,1%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43C PMIC@100C GPU@40.5C AO@46.5C thermal@41.75C POM_5V_IN 3858/3528 POM_5V_GPU 0/32 POM_5V_CPU 1725/1379
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,7%@1479,86%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@42.5C PMIC@100C GPU@40.5C AO@47C thermal@42C POM_5V_IN 3858/3537 POM_5V_GPU 0/31 POM_5V_CPU 1728/1389
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,2%@1479,92%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@43C PMIC@100C GPU@41C AO@46.5C thermal@41.75C POM_5V_IN 3898/3547 POM_5V_GPU 0/30 POM_5V_CPU 1765/1399
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,5%@1479,92%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@43C PMIC@100C GPU@41C AO@46.5C thermal@42C POM_5V_IN 3858/3555 POM_5V_GPU 0/29 POM_5V_CPU 1725/1407
