RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47.5C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3932/3834 POM_5V_GPU 0/17 POM_5V_CPU 1762/1656
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47.5C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3932/3836 POM_5V_GPU 0/17 POM_5V_CPU 1765/1658
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3932/3838 POM_5V_GPU 0/16 POM_5V_CPU 1765/1661
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51.5C thermal@46C POM_5V_IN 3932/3840 POM_5V_GPU 0/16 POM_5V_CPU 1765/1663
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51.5C thermal@45.75C POM_5V_IN 3932/3841 POM_5V_GPU 0/16 POM_5V_CPU 1765/1665
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3932/3843 POM_5V_GPU 0/15 POM_5V_CPU 1765/1666
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,98%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47.5C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3932/3845 POM_5V_GPU 0/15 POM_5V_CPU 1765/1668
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,0%@1479,99%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47.5C PMIC@100C GPU@44.5C AO@51C thermal@46C POM_5V_IN 3932/3846 POM_5V_GPU 0/15 POM_5V_CPU 1765/1670
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51C thermal@46C POM_5V_IN 3932/3848 POM_5V_GPU 0/15 POM_5V_CPU 1765/1672
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,98%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51.5C thermal@46C POM_5V_IN 3932/3849 POM_5V_GPU 0/14 POM_5V_CPU 1765/1673
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,99%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51.5C thermal@45.75C POM_5V_IN 3932/3851 POM_5V_GPU 0/14 POM_5V_CPU 1765/1675
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47.5C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3932/3852 POM_5V_GPU 0/14 POM_5V_CPU 1765/1676
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47C PMIC@100C GPU@45C AO@51.5C thermal@45.75C POM_5V_IN 3972/3854 POM_5V_GPU 0/14 POM_5V_CPU 1802/1679
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47.5C PMIC@100C GPU@44.5C AO@51.5C thermal@46C POM_5V_IN 3972/3856 POM_5V_GPU 0/13 POM_5V_CPU 1802/1681
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,4%@1479,100%@1479,7%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@43C AO@51C thermal@45.25C POM_5V_IN 4046/3859 POM_5V_GPU 80/14 POM_5V_CPU 1802/1682
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 3972/3861 POM_5V_GPU 0/14 POM_5V_CPU 1802/1684
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 3972/3863 POM_5V_GPU 0/14 POM_5V_CPU 1802/1686
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 3972/3864 POM_5V_GPU 0/14 POM_5V_CPU 1802/1688
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47.5C PMIC@100C GPU@44.5C AO@51.5C thermal@46.25C POM_5V_IN 4012/3866 POM_5V_GPU 0/14 POM_5V_CPU 1842/1690
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47.5C PMIC@100C GPU@44.5C AO@51.5C thermal@46.25C POM_5V_IN 4012/3869 POM_5V_GPU 0/13 POM_5V_CPU 1802/1692
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,99%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 4012/3871 POM_5V_GPU 0/13 POM_5V_CPU 1802/1694
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 4052/3873 POM_5V_GPU 0/13 POM_5V_CPU 1842/1696
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 4052/3876 POM_5V_GPU 0/13 POM_5V_CPU 1842/1698
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 4012/3878 POM_5V_GPU 0/13 POM_5V_CPU 1842/1700
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 4012/3880 POM_5V_GPU 0/12 POM_5V_CPU 1842/1702
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47C PMIC@100C GPU@45C AO@51C thermal@46C POM_5V_IN 3932/3880 POM_5V_GPU 0/12 POM_5V_CPU 1802/1703
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47C PMIC@100C GPU@45C AO@51.5C thermal@46C POM_5V_IN 3932/3881 POM_5V_GPU 0/12 POM_5V_CPU 1765/1704
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@52C thermal@46.25C POM_5V_IN 3932/3882 POM_5V_GPU 0/12 POM_5V_CPU 1765/1705
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@48C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 3932/3882 POM_5V_GPU 0/12 POM_5V_CPU 1765/1706
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,2%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 3932/3883 POM_5V_GPU 0/12 POM_5V_CPU 1805/1707
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,3%@1479,100%@1479,7%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@48C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 3932/3884 POM_5V_GPU 0/11 POM_5V_CPU 1805/1708
