RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,93%@1479,0%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@47.5C PMIC@100C GPU@45.5C AO@52C thermal@46.75C POM_5V_IN 3932/3833 POM_5V_GPU 0/32 POM_5V_CPU 1762/1639
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,8%@1479,96%@1479,1%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@47.5C PMIC@100C GPU@43.5C AO@52C thermal@46.5C POM_5V_IN 4046/3839 POM_5V_GPU 80/34 POM_5V_CPU 1800/1644
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,92%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@47.5C PMIC@100C GPU@45.5C AO@52C thermal@46.5C POM_5V_IN 3926/3842 POM_5V_GPU 0/33 POM_5V_CPU 1762/1647
RAM 2182/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,96%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@46.5C POM_5V_IN 4006/3846 POM_5V_GPU 0/32 POM_5V_CPU 1802/1651
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,92%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@52C thermal@46.5C POM_5V_IN 3966/3849 POM_5V_GPU 0/31 POM_5V_CPU 1762/1654
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,97%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@46.5C POM_5V_IN 4006/3853 POM_5V_GPU 0/30 POM_5V_CPU 1800/1658
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,95%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@52C thermal@46.75C POM_5V_IN 3932/3855 POM_5V_GPU 0/29 POM_5V_CPU 1722/1659
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,93%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@47.5C PMIC@100C GPU@45.5C AO@52C thermal@46.75C POM_5V_IN 4046/3860 POM_5V_GPU 0/29 POM_5V_CPU 1840/1664
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@46.75C POM_5V_IN 3932/3862 POM_5V_GPU 0/28 POM_5V_CPU 1762/1666
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,93%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@47.5C PMIC@100C GPU@45.5C AO@51.5C thermal@46.5C POM_5V_IN 3892/3862 POM_5V_GPU 0/27 POM_5V_CPU 1762/1668
