RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [7%@102,6%@102,7%@102,2%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47.5C PMIC@100C GPU@44.5C AO@53C thermal@45.75C POM_5V_IN 2304/2999 POM_5V_GPU 82/98 POM_5V_CPU 164/784
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [9%@102,6%@102,10%@102,3%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47.5C PMIC@100C GPU@44.5C AO@53C thermal@45.75C POM_5V_IN 2465/2981 POM_5V_GPU 164/100 POM_5V_CPU 246/766
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [10%@102,4%@102,6%@102,4%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47C PMIC@100C GPU@44C AO@52.5C thermal@45.75C POM_5V_IN 2304/2959 POM_5V_GPU 82/99 POM_5V_CPU 164/746
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [11%@102,10%@102,8%@102,2%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44.5C CPU@47C PMIC@100C GPU@44C AO@53C thermal@45.75C POM_5V_IN 2465/2944 POM_5V_GPU 164/101 POM_5V_CPU 205/730
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [2%@102,1%@102,7%@102,2%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47C PMIC@100C GPU@44.5C AO@53C thermal@45.5C POM_5V_IN 2304/2924 POM_5V_GPU 82/101 POM_5V_CPU 164/712
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [5%@102,2%@102,7%@102,1%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47C PMIC@100C GPU@44C AO@52.5C thermal@45.5C POM_5V_IN 2304/2906 POM_5V_GPU 82/100 POM_5V_CPU 164/696
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [7%@102,5%@102,9%@102,1%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47C PMIC@100C GPU@44.5C AO@52.5C thermal@45.5C POM_5V_IN 2304/2889 POM_5V_GPU 82/100 POM_5V_CPU 164/681
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [12%@102,8%@102,10%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44.5C CPU@47C PMIC@100C GPU@44.5C AO@52.5C thermal@45.5C POM_5V_IN 2543/2879 POM_5V_GPU 164/101 POM_5V_CPU 246/669
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [8%@102,7%@102,11%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47C PMIC@100C GPU@44.5C AO@53C thermal@45.75C POM_5V_IN 2304/2864 POM_5V_GPU 82/101 POM_5V_CPU 164/655
RAM 2016/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [6%@102,7%@102,10%@102,2%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47C PMIC@100C GPU@44.5C AO@52.5C thermal@46.25C POM_5V_IN 2345/2850 POM_5V_GPU 82/100 POM_5V_CPU 164/642
